,VehicleAge,VehOdo,AuctionVal,MakeVal,NationalityVal,VNSTVal,WarrantyCostVal,IsBadBuy,VehBCost,WheelTypeVal
0,3,89046,0,17,2,5,70,0,7100.0,0
1,5,93593,0,5,0,5,61,0,7600.0,0
2,4,73807,0,5,0,5,114,0,4900.0,1
3,5,65617,0,5,0,5,12,0,4100.0,0
4,4,69367,0,6,0,5,56,0,4000.0,1
5,5,81054,0,20,2,5,9,0,5600.0,1
6,5,65328,0,14,2,5,4,0,4200.0,1
7,4,65805,0,6,0,5,31,0,4500.0,1
8,2,49921,0,14,2,5,1,0,5600.0,1
9,2,84872,0,6,0,5,149,0,7700.0,0
10,4,80080,0,7,0,5,112,0,5500.0,0
11,8,75419,0,6,0,5,36,0,5300.0,0
12,4,79315,0,5,0,5,146,1,5400.0,0
13,4,71254,0,21,3,5,17,0,7800.0,1
14,3,74722,0,5,0,5,146,0,6900.0,0
15,6,72132,0,3,0,5,124,0,3300.0,1
16,4,80736,0,3,0,5,93,0,6800.0,0
17,6,75156,0,25,0,5,180,0,4900.0,1
18,4,65925,0,3,0,5,158,0,5700.0,1
19,5,84498,0,7,0,5,93,0,7100.0,0
20,7,54586,0,4,0,5,136,0,4800.0,1
21,7,66536,0,3,0,5,187,0,5800.0,0
22,5,98130,0,3,0,5,271,0,4100.0,1
23,3,59789,0,3,0,5,15,0,7700.0,1
24,2,65663,0,3,0,5,21,0,7000.0,1
25,5,52106,0,18,0,5,22,1,4500.0,0
26,7,88958,0,7,0,5,217,0,8000.0,0
27,5,76173,0,5,0,5,42,0,8800.0,0
28,5,65393,0,5,0,5,116,0,8400.0,0
29,4,80064,0,5,0,5,164,0,5600.0,0
30,6,77694,0,3,0,5,180,0,8300.0,0
31,7,56300,0,6,0,5,90,1,4900.0,0
32,3,78241,0,4,0,5,114,0,9500.0,1
33,5,57723,0,6,0,5,15,0,7000.0,0
34,4,78434,0,3,0,5,97,0,10700.0,0
35,8,82944,0,6,0,5,210,1,3600.0,0
36,4,76304,0,6,0,5,132,0,6100.0,1
37,6,55711,0,10,2,5,49,0,5100.0,0
38,5,76586,0,4,0,5,114,0,8200.0,1
39,5,65078,0,6,0,5,21,1,8500.0,2
40,3,65403,0,5,0,5,31,0,6700.0,1
41,5,86889,0,21,3,5,9,1,5200.0,2
42,6,68990,0,4,0,5,88,0,8500.0,0
43,2,80949,0,3,0,5,198,0,7900.0,1
44,6,52774,0,5,0,5,22,0,11335.0,0
45,6,72191,0,21,3,5,6,1,7100.0,2
46,7,59858,0,6,0,5,90,0,4600.0,0
47,8,79576,0,29,3,5,36,1,3900.0,2
48,6,73291,0,6,0,5,80,1,4100.0,0
